Disease,Symptoms,Severity,Description,Precautions
Diabetes Insipidus,excessive_thirst;frequent_urination;dehydration;fatigue,Chronic,A condition where kidneys fail to conserve water due to hormone imbalance. It causes frequent urination and thirst.,Drink water frequently;Hormone therapy;Monitor electrolytes
Metabolic Syndrome,obesity;hypertension;high_cholesterol;fatigue,Chronic,A cluster of metabolic abnormalities increasing heart disease risk. Linked with poor diet and inactivity.,Exercise;Balanced diet;Monitor blood sugar and BP
Hyperparathyroidism,bone_pain;fatigue;nausea;constipation,Chronic,Overactive parathyroid glands increase calcium levels in blood. It causes kidney stones and bone weakness.,Surgery;Hydration;Limit calcium intake
Hypoparathyroidism,muscle_cramps;tingling;numbness;fatigue,Chronic,Low parathyroid hormone levels cause calcium deficiency. It results in muscle spasms and irritability.,Calcium supplements;Vitamin D;Medical monitoring
Goiter,neck_swelling;difficulty_swallowing;hoarseness,Moderate,Thyroid gland enlargement often due to iodine deficiency. Large goiters may cause breathing difficulty.,Iodized salt;Thyroid evaluation;Medication
Hypoglycemia,sweating;shaking;confusion;dizziness,Moderate,Low blood sugar levels usually due to medication overdose. Immediate glucose intake is required to prevent fainting.,Eat sweets;Monitor glucose;Regular meals
UTI,frequent_urination;burning_urination;lower_abdominal_pain;fever,Moderate,Urinary tract infection due to bacteria.,Hydration;Antibiotics
Kidney Stones,back_pain;pain_urination;nausea;vomiting,Severe,Solid crystals in kidneys causing pain.,Drink water;Pain relief
Kidney Failure,fatigue;swelling;nausea;urine_change,Severe,Loss of kidney function requiring dialysis.,Dialysis;Low-salt diet
Menstrual Cramps,abdominal_pain;fatigue;nausea;back_pain,Mild,Pain during menstruation due to uterine contractions.,Heat therapy;Pain relief
Endometriosis,pelvic_pain;back_pain;fatigue;heavy_bleeding,Chronic,Growth of uterine tissue outside uterus.,Surgery;Hormonal therapy
Prostatitis,frequent_urination;pelvic_pain;burning_urination,Moderate,Prostate gland inflammation causing pain.,Antibiotics;Hydration
Ovarian Cyst,abdominal_pain;irregular_periods;bloating;nausea,Moderate,Fluid-filled sacs that develop on ovaries. Large cysts can cause discomfort or menstrual changes.,Regular ultrasound;Pain relief;Surgery if persistent
Fibroids,heavy_bleeding;pelvic_pain;back_pain;fatigue,Moderate,Benign tumors in uterus causing heavy periods. They shrink after menopause or with treatment.,Medication;Surgery if severe;Iron supplementation
Pelvic Inflammatory Disease,fever;pelvic_pain;vaginal_discharge;nausea,Severe,Bacterial infection of female reproductive organs. It may cause infertility if untreated.,Antibiotics;Rest;Avoid unprotected intercourse
Infertility,hormonal_imbalance;irregular_periods;stress;low_sperm_count,Chronic,Inability to conceive after a year of regular intercourse. Can result from male or female reproductive problems.,Medical evaluation;Healthy lifestyle;Fertility therapy
Erectile Dysfunction,low_libido;stress;fatigue;anxiety,Moderate,Inability to maintain erection due to physical or psychological causes. Often linked with diabetes or heart disease.,Avoid alcohol;Exercise;Medication
Prostate Cancer,frequent_urination;back_pain;fatigue;weight_loss,Severe,A malignant tumor of the prostate gland in older men. Early stages are often symptomless.,Regular screening;Healthy diet;Treatment per stage
Ovarian Cancer,abdominal_pain;bloating;fatigue;weight_loss,Severe,A malignancy of the ovaries that spreads silently. It’s detected late due to vague early symptoms.,Regular pelvic exam;Surgery;Chemotherapy
Endometrial Cancer,abnormal_bleeding;pelvic_pain;fatigue;weight_loss,Severe,Cancer of uterine lining common after menopause. It often presents with abnormal vaginal bleeding.,Medical evaluation;Surgery;Radiation therapy
Cervical Cancer,abnormal_bleeding;pelvic_pain;vaginal_discharge,Severe,Caused by persistent HPV infection. It is preventable through vaccination and screening.,HPV vaccine;Pap smear;Treatment per stage
Testicular Cancer,painless_swelling;heaviness_in_scrotum;fatigue,Severe,A cancer in the testicles that mainly affects young men. Early detection ensures high cure rates.,Self-examination;Ultrasound;Oncology care
Depression,low_mood;hopelessness;fatigue;loss_of_interest;sleep_disturbance,Chronic,Persistent sadness affecting mental health.,Therapy;Exercise;Medication
Anxiety,restlessness;fear;fast_heartbeat;sweating;insomnia,Chronic,Excessive worry and uneasiness about events.,Breathing exercises;Therapy
Bipolar Disorder,mood_swings;depression;high_energy;insomnia,Chronic,Alternating episodes of mania and depression.,Medication;Counseling
Schizophrenia,hallucinations;confusion;disorganized_speech;withdrawal,Severe,Mental disorder causing hallucinations and delusions.,Therapy;Medication
Panic Attack,rapid_heartbeat;fear;sweating;chest_pain;shortness_of_breath,Moderate,Sudden intense anxiety with physical reactions.,Deep breathing;Therapy
Insomnia,difficulty_sleeping;restlessness;fatigue;irritability,Moderate,Inability to fall or stay asleep.,Avoid caffeine;Regular sleep pattern
Autism,social_difficulty;repetitive_behavior;delayed_speech,Chronic,Developmental disorder affecting communication.,Therapy;Routine;Family support
ADHD,hyperactivity;inattention;impulsiveness;restlessness,Chronic,Neurodevelopmental disorder causing hyperactivity.,Focus training;Therapy
Arthritis,joint_pain;swelling;stiffness;limited_movement,Chronic,Joint inflammation causing pain and swelling.,Exercise;Pain relief
Osteoporosis,bone_pain;fractures;back_pain;fatigue,Chronic,Weakening of bones increasing fracture risk.,Calcium intake;Exercise
Cervical Spondylosis,neck_pain;stiffness;shoulder_pain;headache,Chronic,Degeneration of neck vertebrae,Physiotherapy;Posture correction
Sciatica,back_pain;leg_pain;numbness;tingling,Moderate,Nerve compression causing radiating leg pain.,Stretching;Physiotherapy
Gout,joint_pain;swelling;redness;warmth,Chronic,Uric acid buildup in joints causing pain.,Avoid red meat;Hydrate
Fibromyalgia,muscle_pain;fatigue;insomnia;headache,Chronic,A chronic pain syndrome affecting muscles and soft tissues. Often associated with sleep problems and anxiety.,Stress reduction;Exercise;Pain relief
Tendonitis,joint_pain;swelling;stiffness;tenderness,Mild,"Inflammation of a tendon from repetitive strain. Common in shoulder, elbow, and wrist.",Rest;Cold compress;Physiotherapy
Bursitis,joint_pain;swelling;warmth;limited_movement,Moderate,Inflammation of fluid-filled sacs (bursae) around joints. Common in knees and elbows due to overuse.,Rest;Pain relief;Avoid pressure
Scoliosis,back_pain;uneven_shoulders;curved_spine,Chronic,A curvature of the spine developing during growth. Severe cases may cause lung compression.,Bracing;Physiotherapy;Surgery if needed
Herniated Disc,back_pain;leg_pain;numbness;weakness,Moderate,A slipped disc compresses spinal nerves causing pain and numbness. Common in the lumbar region.,Avoid heavy lifting;Physiotherapy;Surgery if severe
Tennis Elbow,elbow_pain;swelling;tenderness,Moderate,Overuse of forearm muscles causes tendon inflammation. Pain worsens with gripping or lifting.,Rest;Pain relief;Physiotherapy
Frozen Shoulder,shoulder_pain;stiffness;limited_movement,Moderate,Inflammation of shoulder capsule limits motion. Often follows injury or diabetes.,Stretching;Physiotherapy;Pain management
Rickets,bone_pain;weakness;deformity;growth_delay,Moderate,Softening of bones due to Vitamin D deficiency in children. Leads to bowed legs and slow growth.,Vitamin D;Sunlight exposure;Diet management
Osteoarthritis,joint_pain;stiffness;swelling;limited_movement,Chronic,"Degenerative joint disease from cartilage wear. Common in knees, hips, and spine of older adults.",Exercise;Weight control;Pain medication
Chickenpox,fever;itching;rash;blisters,Moderate,Viral infection causing itchy blisters.,Avoid scratching;Rest
Measles,fever;rash;cough;runny_nose;red_eyes,Moderate,Viral infection with rash and fever.,Vaccination;Rest
Mumps,fever;swollen_jaw;painful_swallowing,Moderate,Viral infection of salivary glands.,Rest;Hydration
Diphtheria,sore_throat;fever;fatigue;swollen_neck,Severe,Bacterial infection affecting throat.,Vaccination;Antibiotics
Tetanus,muscle_stiffness;lockjaw;spasms;fever,Severe,Bacterial infection causing muscle contractions.,Vaccination;Emergency care
Polio,weakness;paralysis;fever;muscle_pain,Severe,Viral infection affecting nerves,Vaccination;Rehabilitation
Heat Stroke,high_fever;confusion;dizziness;sweating;weakness,Severe,Overheating due to high temperature,Cool body;Hydrate
Hypothermia,shivering;confusion;slow_heartbeat;fatigue,Severe,Dangerous drop in body temperature,Warm environment;Blankets
Motion Sickness,nausea;vomiting;dizziness;sweating,Mild,Discomfort during travel,Focus on horizon;Avoid reading
Dehydration,dry_mouth;thirst;dizziness;fatigue,Mild,Loss of body fluids due to heat or illness,Drink water;ORS solution
Carbon Monoxide Poisoning,headache;dizziness;nausea;confusion,Severe,"Inhalation of carbon monoxide gas reduces oxygen in blood. It leads to confusion, fainting, or death.",Move to fresh air;Seek emergency care;Install detectors
Heat Exhaustion,heavy_sweating;weakness;dizziness;nausea,Moderate,Prolonged heat exposure causes dehydration and salt loss. Can progress to heat stroke if untreated.,Cool environment;Drink water;Rest
Frostbite,numbness;discoloration;pain;swelling,Severe,"Freezing of skin and tissues due to extreme cold exposure. Commonly affects fingers, toes, ears, and nose.",Warm gradually;Avoid rubbing;Seek medical care
Altitude Sickness,headache;nausea;shortness_of_breath;fatigue,Moderate,Occurs at high altitudes due to low oxygen. It causes dizziness and shortness of breath.,Descend to lower altitude;Rest;Oxygen therapy
Radiation Sickness,nausea;vomiting;fatigue;hair_loss,Severe,Caused by excessive exposure to ionizing radiation. Damages cells and organs quickly.,Leave exposure zone;Hydrate;Seek immediate treatment
Chemical Burns,redness;blisters;pain;swelling,Severe,Tissue injury due to corrosive chemical contact. Severity depends on exposure time and substance.,Rinse thoroughly;Avoid ointments;Seek emergency help
Occupational Asthma,cough;wheezing;shortness_of_breath;chest_tightness,Chronic,Triggered by long-term exposure to workplace irritants. Early diagnosis prevents chronic damage.,Avoid irritants;Use masks;Medical monitoring
Noise-Induced Hearing Loss,hearing_loss;ringing_ears;fatigue,Chronic,Caused by repeated exposure to loud noise damaging ear cells. It develops gradually and is irreversible.,Use ear protection;Limit exposure;Regular hearing test
Rheumatoid Arthritis,joint_pain;swelling;morning_stiffness;fatigue,Chronic,"An autoimmune disorder causing painful joint inflammation. Over time, it can lead to joint deformity if untreated.",Regular medication;Exercise;Healthy diet;Avoid smoking
Lupus,fatigue;joint_pain;skin_rash;fever,Chronic,"An autoimmune disease where the immune system attacks tissues and organs. It affects joints, kidneys, and skin.",Avoid sun exposure;Take prescribed meds;Regular monitoring
Celiac Disease,abdominal_pain;diarrhea;weight_loss;fatigue,Chronic,A gluten intolerance causing damage to the small intestine. Symptoms improve with a gluten-free diet.,Avoid gluten;Consult dietitian;Eat naturally gluten-free foods
Hashimoto’s Thyroiditis,fatigue;weight_gain;cold_intolerance;depression,Chronic,An autoimmune condition causing hypothyroidism. The immune system gradually destroys the thyroid gland.,Medication;Regular thyroid tests;Balanced diet
Graves’ Disease,weight_loss;anxiety;rapid_heartbeat;sweating,Chronic,An autoimmune disorder causing overactive thyroid (hyperthyroidism). It increases metabolism and heart rate.,Avoid caffeine;Medication;Monitor thyroid levels
Sarcoidosis,cough;fatigue;chest_pain;rash,Chronic,An inflammatory disease forming tiny clumps of cells in lungs and lymph nodes. It can affect multiple organs.,Medication;Avoid smoking;Regular doctor follow-up
Ankylosing Spondylitis,back_pain;stiffness;fatigue;reduced_flexibility,Chronic,A form of arthritis that mainly affects the spine and pelvis joints. It causes chronic back pain and stiffness.,Exercise;Posture correction;Anti-inflammatory drugs
Myasthenia Gravis,muscle_weakness;fatigue;drooping_eyelids;difficulty_swallowing,Chronic,A neuromuscular disorder causing weakness in voluntary muscles. Symptoms worsen with activity and improve with rest.,Medication;Rest periods;Avoid overheating
Scleroderma,skin_thickening;stiffness;fatigue;swelling,Chronic,An autoimmune disease causing hardening and tightening of skin and tissues. It can affect internal organs too.,Moisturize skin;Exercise;Avoid cold
Psoriatic Arthritis,joint_pain;swelling;scaling_skin;fatigue,Chronic,An autoimmune disease combining psoriasis and arthritis. It causes joint inflammation and skin lesions.,Use topical treatment;Exercise;Pain relief
Hepatitis B,jaundice;fatigue;fever;abdominal_pain;nausea,Severe,A viral liver infection transmitted through blood or fluids. It can lead to chronic liver disease.,Vaccination;Avoid alcohol;Doctor monitoring
Hepatitis C,jaundice;fatigue;joint_pain;dark_urine,Severe,A viral liver infection spread through contaminated needles. Chronic infection can cause cirrhosis or cancer.,Antiviral therapy;Avoid alcohol;Regular testing
Fatty Liver Disease,fatigue;abdominal_discomfort;nausea,Chronic,Accumulation of fat in liver cells causing mild inflammation. It’s common in obesity or alcohol overuse.,Lose weight;Avoid alcohol;Healthy diet
Cirrhosis,abdominal_pain;swelling;jaundice;fatigue,Severe,Chronic liver scarring from alcohol or hepatitis damage. It impairs detoxification and nutrient metabolism.,Avoid alcohol;Low-salt diet;Doctor supervision
Hemorrhoids,pain_while_passing_stool;bleeding;itching;swelling,Moderate,Swollen veins in the rectum or anus causing pain and itching. Straining or constipation worsens symptoms.,High-fiber diet;Drink water;Avoid sitting long
Gastroesophageal Ulcer,stomach_pain;nausea;vomiting;black_stools,Moderate,A peptic ulcer caused by stomach acid erosion. It causes sharp pain and indigestion.,Medication;Avoid spicy food;No alcohol
Colitis,diarrhea;abdominal_pain;fatigue;blood_in_stool,Severe,Inflammation of the colon lining leading to cramps and urgency. It may be ulcerative or infectious.,Hydration;Medication;Avoid processed foods
Crohn’s Disease,abdominal_pain;weight_loss;diarrhea;fatigue,Chronic,A chronic inflammatory bowel disease affecting any digestive part. It alternates between flare-ups and remission.,Healthy diet;Medication;Avoid stress
Lactose Intolerance,bloating;gas;diarrhea;cramps,Mild,Inability to digest lactose from milk due to enzyme deficiency. Causes discomfort after dairy consumption.,Avoid dairy;Use lactose-free products;Take lactase supplements
Anal Fissure,pain_during_stool;bleeding;itching,Moderate,A small tear in the anal lining due to hard stool. It causes sharp pain during bowel movements.,Drink water;Fiber diet;Topical ointment
Typhoid Fever,fever;headache;abdominal_pain;constipation;nausea,Severe,A bacterial infection from contaminated food or water. It causes prolonged fever and weakness.,Antibiotics;Hydration;Avoid street food
Dengue,fever;rash;joint_pain;muscle_pain;headache;fatigue,Severe,A mosquito-borne viral disease causing low platelets and bleeding. Severe cases lead to shock.,Avoid mosquito bites;Hydrate;Monitor platelets
Chikungunya,fever;joint_pain;rash;headache;fatigue,Moderate,A viral illness spread by mosquitoes causing severe joint pain. Recovery may take several weeks.,Hydration;Rest;Pain management
Malaria,fever;chills;vomiting;headache;sweating,Severe,A mosquito-borne infection caused by *Plasmodium* parasites. It leads to cyclic fever and chills.,Use mosquito nets;Antimalarial drugs;Hydration
Leptospirosis,fever;chills;muscle_pain;vomiting;headache,Severe,A bacterial disease transmitted through water contaminated with animal urine. It can affect kidneys and liver.,Avoid dirty water;Wear boots;Antibiotics
HIV/AIDS,fever;fatigue;weight_loss;swollen_lymph_nodes,Chronic,A viral infection that weakens the immune system. It increases susceptibility to opportunistic infections.,Safe sex;Regular ART therapy;Balanced diet
Rabies,fever;tingling;anxiety;hydrophobia,Severe,A fatal viral disease transmitted by bites of infected animals. It affects the brain and nerves.,Vaccination;Immediate medical care;Avoid animal bites
Plague,fever;chills;swollen_lymph_nodes;fatigue,Severe,A rare bacterial disease spread by fleas on rodents. Untreated plague can be fatal.,Antibiotics;Avoid rodents;Maintain hygiene
Zika Virus,fever;rash;joint_pain;red_eyes,Moderate,A mosquito-borne viral infection that can cause birth defects. Pregnant women are at special risk.,Avoid mosquito bites;Hydrate;Rest
Ebola,fever;vomiting;bleeding;weakness;diarrhea,Severe,A severe viral hemorrhagic fever with high fatality. Spread occurs through body fluids.,Isolation;Hydration;Supportive care
Smallpox,fever;rash;blisters;fatigue,Severe,A now-eradicated viral disease causing pustular rash and fever. It was eliminated by vaccination worldwide.,Vaccination history;Report suspected cases
Hantavirus,fever;muscle_pain;cough;shortness_of_breath,Severe,A virus from rodent droppings causing lung disease. It can progress rapidly to respiratory failure.,Avoid rodent exposure;Maintain hygiene
Yellow Fever,fever;jaundice;muscle_pain;vomiting,Severe,A mosquito-transmitted viral infection affecting liver and kidneys. Vaccination offers lifelong protection.,Vaccination;Hydration;Avoid mosquitoes
Vitamin D Deficiency,fatigue;bone_pain;weakness;depression,Mild,Low vitamin D impairs calcium absorption and bone health. It can cause rickets in children or osteomalacia in adults.,Sun exposure;Vitamin D supplements;Balanced diet
Iron Deficiency,fatigue;pale_skin;dizziness;headache,Moderate,Low iron intake or blood loss reduces hemoglobin levels. It causes tiredness and poor concentration.,Iron-rich diet;Supplements;Regular check-ups
Calcium Deficiency,muscle_cramps;numbness;weak_bones;tingling,Mild,Insufficient calcium weakens bones and affects nerves. Long-term deficiency may lead to osteoporosis.,Consume dairy;Vitamin D intake;Exercise
Protein Deficiency,fatigue;weight_loss;weakness;hair_loss,Moderate,Inadequate protein intake leads to muscle wasting and poor immunity. Common in malnutrition or chronic illness.,"Eat legumes, eggs, meat;Balanced meals"
Kwashiorkor,swelling;fatigue;irritability;skin_peeling,Severe,Severe protein deficiency in children causing edema and stunted growth. Common in famine-hit areas.,Protein-rich diet;Gradual feeding;Medical supervision
Marasmus,weight_loss;weakness;sunken_eyes;fatigue,Severe,Caloric deficiency causing severe wasting and weakness. It occurs in extreme malnutrition.,High-calorie diet;Gradual refeeding;Medical care
